Revenue_USD,Cost_of_Goods_Sold_USD,Gross_Profit_USD,Operating_Expenses_USD,Operating_Income_USD,Net_Income_USD,EBITDA_USD,Depreciation_Amortization_USD,Interest_Expense_USD,Income_Tax_Expense_USD,Cash_and_Cash_Equivalents_USD,Accounts_Receivable_USD,Inventory_USD,Total_Current_Assets_USD,Property_Plant_Equipment_USD,Total_Assets_USD,Accounts_Payable_USD,Short_Term_Debt_USD,Total_Current_Liabilities_USD,Long_Term_Debt_USD,Total_Liabilities_USD,Common_Stock_USD,Retained_Earnings_USD,Total_Equity_USD,Ore_Processed_Tonnes,Metal_Produced_Tonnes,Metal_Sold_Tonnes,Average_Grade_Percent,Recovery_Rate_Percent,Average_Sale_Price_per_Tonne_USD,Average_Cost_per_Tonne_USD,Break_Even_Price_USD,Current_Ratio,Debt_to_Equity_Ratio,Return_on_Assets_Percent,Return_on_Equity_Percent,Budgeted_Revenue_USD,Budgeted_Expenses_USD,Forecasted_Production_Tonnes,Forecasted_Metal_Price_USD,Total_Employees,Average_Salary_USD,Total_Payroll_USD,Active_Projects,Capital_Expenditure_USD,Exploration_Expenditure_USD,Royalties_Paid_USD,Environmental_Tax_USD,Cash_Flow_Operations_USD,Cash_Flow_Investing_USD,Cash_Flow_Financing_USD,Free_Cash_Flow_USD,Compliance_Score,Audit_Findings,Fines_Penalties_USD,Transport_Costs_USD,Export_Costs_USD,Exchange_Rate_USD_to_Local,Hedging_Gain_Loss_USD,Major_Buyer_Count,Market_Share_Percent,Sales_Growth_Percent,Insurance_Premiums_USD,Claims_Paid_USD,Other_Income_USD,Other_Expenses_USD,CO2_Emissions_Tonnes,Water_Usage_CubicMeters,Training_Hours,Safety_Incidents,Turnover_Rate_Percent,Custom_Field_1,Custom_Field_2,Custom_Field_3,Custom_Field_4,Custom_Field_5,Custom_Field_6,Custom_Field_7,Custom_Field_8,Custom_Field_9,Custom_Field_10,Custom_Field_11,Custom_Field_12,Custom_Field_13,Custom_Field_14,Custom_Field_15,Custom_Field_16,Custom_Field_17,Custom_Field_18,Custom_Field_19,Custom_Field_20,Custom_Field_21,Custom_Field_22,Custom_Field_23,Custom_Field_24
249816047.538945,210507911.53857195,<function <lambda> at 0x7eed9a40f270>,28249909.50687461,<function <lambda> at 0x7eed9a40f1d0>,<function <lambda> at 0x7eed3efab3f0>,50272207.568659745,15608579.514700979,2666196.359547577,11857421.547077294,16681676.316037994,8837346.494374858,29043030.76258856,<function <lambda> at 0x7eed3efab490>,178511705.1207718,<function <lambda> at 0x7eed3efab530>,39304009.85531978,10109062.498719376,<function <lambda> at 0x7eed3efab5d0>,112955769.68917365,<function <lambda> at 0x7eed3efab670>,89629755.81441917,60362179.65253388,<function <lambda> at 0x7eed3efab710>,321348.47589990875,6681.397849184196,7530.588584328736,1.8336092608097978,81.73584337477652,4399.8373220128215,1019.1648496164194,1475.3474871303551,1.0724612587527984,1.2872710405548842,5.262865940956425,8.659929535287084,216531562.6602915,168809631.1850252,424128.477038911,3731.8081945521017,1180,29668.19789838358,<function <lambda> at 0x7eed3efab7b0>,1,67903275.25627846,32603083.0934977,8989763.722045192,1084023.3457517507,61976067.889738694,-31812014.663825244,-27155061.831594903,<function <lambda> at 0x7eed3efab850>,0.2148546064249981,9,554169.7216110001,1114808.317366875,8556949.155883968,18.864324037671047,1252728.5891378452,17,16.272944937030175,-4.688701164148078,2197363.560701675,456081.4471691762,1788202.7479445566,2470214.3346786667,70575.50483943151,42157.71771451278,7336.7710177810195,7,21.5909789295402,467.8699136339316,484.778060090447,527.299133128794,387.8450996858469,762.3187616939758,168.40794901002997,297.30059922563936,634.453139755603,968.6629131467375,790.6595260456108,9.20566739064299,77.29349315046585,304.579947087249,140.6954238607463,479.7001625335457,695.329406452567,523.698386271309,829.9579189553185,794.6267910267816,33.19648610546988,177.61981945520222,563.817480575171,529.2555409507501,48.15078917320093
480285722.56396645,71034991.2487622,<function <lambda> at 0x7eed9a40f270>,92204232.53436533,<function <lambda> at 0x7eed9a40f1d0>,<function <lambda> at 0x7eed3efab3f0>,63430840.68383503,7288085.64371392,5877108.526405224,2319629.9139644196,16704768.651532706,11467431.242310416,24225183.908098154,<function <lambda> at 0x7eed3efab490>,174093639.72159994,<function <lambda> at 0x7eed3efab530>,13321617.79978947,6075678.332714765,<function <lambda> at 0x7eed3efab5d0>,55433203.48229039,<function <lambda> at 0x7eed3efab670>,95394939.68898097,67800883.83148234,<function <lambda> at 0x7eed3efab710>,301252.98902061605,7372.948420541743,18271.935420986905,4.722420778930922,90.60642851339948,1784.9828668246626,2363.109741463495,3463.5165479858506,0.9551784027045045,1.4468713187500428,14.761256313765811,19.50101341302662,233640653.21906376,103051149.17723309,186193.1810525831,2649.0948797645115,1899,28766.879742297675,<function <lambda> at 0x7eed3efab7b0>,3,33625926.143484905,16775211.49868779,1365271.4092122559,3005682.621252384,34424474.62395433,-77351266.27475268,18070290.197719492,<function <lambda> at 0x7eed3efab850>,0.04033016105151299,5,558840.8709546665,7257066.901729621,8036312.682336987,14.268508603557429,1818550.6080258735,14,19.0305548065059,-9.144399254840552,2312740.047244127,951630.5060056266,1453719.3294533696,276088.1337520282,5158.570974462378,206707.33913740187,3341.043847138593,0,17.273449042904204,275.04025894073334,105.77890689406699,900.8678944015792,101.07649237174266,481.3558321078523,727.8558680501468,470.5414860459752,764.0555898524384,672.1486869324071,697.1398139457832,200.22093578866605,257.8700035480086,35.62979539013933,219.67467799470742,858.9123260956413,741.1070416296808,79.14466827820942,200.50952355088748,751.3072956521764,996.762584986409,159.16753447981446,157.45295718984664,948.94013128426,504.96091894216767
392797576.72456205,90407178.52365345,<function <lambda> at 0x7eed9a40f270>,60420189.79582857,<function <lambda> at 0x7eed9a40f1d0>,<function <lambda> at 0x7eed3efab3f0>,51241258.11320962,13644325.402502198,8856512.522887673,2287606.1698769643,11466857.077341719,9533128.04453976,15771530.987045411,<function <lambda> at 0x7eed3efab490>,371876374.15631104,<function <lambda> at 0x7eed3efab530>,22676452.84935834,11144433.42342848,<function <lambda> at 0x7eed3efab5d0>,124864523.41262,<function <lambda> at 0x7eed3efab670>,97185079.64101104,35028073.927549936,<function <lambda> at 0x7eed3efab710>,177545.22717475705,29972.315300832266,8631.758884583092,4.184331032678228,88.88611533202604,1502.1991595939085,1435.8813044775611,3891.459161085774,2.8007449081089284,2.2090947864043606,9.99888378871899,19.37207179706744,165090443.19463485,159666807.6363993,536197.2816774074,4512.144189165253,934,66515.08489538688,<function <lambda> at 0x7eed3efab7b0>,5,14711246.058818178,8014599.247813143,9223547.446058134,4758703.940112669,32795118.843164004,-20474468.778270796,6262843.144968487,<function <lambda> at 0x7eed3efab850>,0.20113654259037728,5,707031.1693228843,4761992.9522831645,5294175.398271844,15.778644348676384,1703154.1979782735,10,17.284409667625944,17.279124392181483,2912579.057274797,1241949.1672285108,3073854.7657813113,4773187.566800279,90780.41035008623,384775.4676777919,9477.144755544961,8,8.105970139250807,141.82882868767487,277.9220107693591,312.94561734835844,801.9203922559826,680.0610283068365,183.7389258424279,93.2139258926985,83.80843348716427,153.74503199578592,995.5202282643788,113.22064993344927,94.22237874750738,935.6551294095445,481.9442793927208,895.8346766901622,259.09820538211125,117.676512645299,888.8879396564826,942.2611736585611,98.95230168653491,657.4713688561535,856.1495725959414,73.23150427723391,698.5982867270393
339463393.67881465,274638547.1317698,<function <lambda> at 0x7eed9a40f270>,86116597.28861934,<function <lambda> at 0x7eed9a40f1d0>,<function <lambda> at 0x7eed3efab3f0>,40644304.05084667,14100725.695742838,7590023.97768605,6206932.848944036,39456080.60262562,12099926.116638746,14523782.788328415,<function <lambda> at 0x7eed3efab490>,174863859.95485184,<function <lambda> at 0x7eed3efab530>,11260740.255142158,9668262.425950903,<function <lambda> at 0x7eed3efab5d0>,81758679.52611166,<function <lambda> at 0x7eed3efab670>,98006780.22027236,57492445.97641993,<function <lambda> at 0x7eed3efab710>,443526.70846726187,13165.981235647774,10966.076577875909,4.926052429311484,65.8481963783634,4853.919789897311,1817.6750361990912,2058.789431327561,1.2182832859011525,1.1800087721197843,11.047466209108993,8.71447464607158,355983589.86460054,339265410.5070182,406558.1195346208,3540.9182559371816,553,27148.97426925768,<function <lambda> at 0x7eed3efab7b0>,7,30788137.94752573,6268610.320124997,8496947.246977005,2367489.912668394,79876312.9903919,-72178899.2171125,-18087428.467907898,<function <lambda> at 0x7eed3efab850>,0.1786288767542995,0,177481.83499101177,6090017.349037483,8565364.59993397,15.680804712652279,1637060.1738213631,13,5.761842428645505,-9.753306058333255,1150993.3968626792,722015.6922192585,4513880.238822725,642886.3039843924,48962.80809428606,458436.4052214329,5770.796472229816,3,14.478787834994918,3.745094711284813,890.3144562136513,574.161999609583,915.076765278806,897.2826721355218,511.4867692088335,45.93003222908998,160.7155848915056,133.2267479843533,13.67765110464414,842.7191235394686,315.18729015396383,586.1203488054969,42.47091048841134,956.2261970761539,344.09976402973655,175.8578813161925,322.1934506479628,398.25640915701155,682.6418014450607,870.1430055517371,909.5689433445876,599.8679731550471,542.9465845718413
162407456.1769746,201607264.91489747,<function <lambda> at 0x7eed9a40f270>,45603968.082448944,<function <lambda> at 0x7eed9a40f1d0>,<function <lambda> at 0x7eed3efab3f0>,44476304.5320721,11361960.06953579,8259050.330753048,8352361.475260654,36552181.104872204,6388476.854921867,15693471.05440869,<function <lambda> at 0x7eed3efab490>,181584917.8385893,<function <lambda> at 0x7eed3efab530>,32197123.623007912,15156809.596025141,<function <lambda> at 0x7eed3efab5d0>,50013469.30044853,<function <lambda> at 0x7eed3efab670>,76072981.9360736,54304758.98862492,<function <lambda> at 0x7eed3efab710>,370776.31319873495,23704.59780122116,9467.74500808958,1.6685187752768629,65.67147985017601,1432.1782375056284,3964.3181335066965,3354.3483428708073,2.6067503400313496,2.2392993696243426,14.672646922410129,10.220779332159807,134326965.84083492,194844150.36453563,178601.9417784771,1525.5083200499787,1800,19332.888938514894,<function <lambda> at 0x7eed3efab7b0>,3,82172255.7552514,16013528.583661728,3678136.447967339,1971239.4511461272,98582944.89351459,-32235888.476183757,-310292.6027147919,<function <lambda> at 0x7eed3efab850>,0.33774799673484723,4,252223.13423061883,6841725.418169959,2396455.122085808,14.87610143355265,48679.82373554865,12,12.855692323443789,12.082464330112561,546141.0476075566,1583795.1560059257,4811457.708362934,3487306.336133634,46572.37149300545,212613.59716105217,8481.916641567248,7,18.15654338080982,532.1574849848356,549.9884158659529,500.755274740986,756.59393401413,136.17414236157123,93.26012018083173,111.60319945189178,733.2048049529766,204.2647583330054,355.13321531579066,258.50625214781195,875.1872134587289,298.14297114814025,462.5339853783005,879.5632376127812,990.4716723472567,774.7235933045602,13.404814251991027,206.38674224818075,252.83620307479003,892.4261775360394,449.66166311292255,526.4985273282413,666.6474656992775
162397808.13448107,52299262.904157415,<function <lambda> at 0x7eed9a40f270>,91641858.27969603,<function <lambda> at 0x7eed9a40f1d0>,<function <lambda> at 0x7eed3efab3f0>,85293452.1639271,16046663.534370843,6929050.300396456,12015296.431501312,28985235.029992554,15381195.818165407,25042377.685986,<function <lambda> at 0x7eed3efab490>,327819478.7253891,<function <lambda> at 0x7eed3efab530>,37542296.56597452,14086688.741790356,<function <lambda> at 0x7eed3efab5d0>,101112913.92372298,<function <lambda> at 0x7eed3efab670>,98865395.39957517,69969822.60729626,<function <lambda> at 0x7eed3efab710>,435163.3499407214,25166.62632567041,8570.944496720429,4.863756347590897,70.1906259743067,2913.964280428757,2926.668446346172,3849.7839838389978,1.998187916435699,0.676268861953383,6.280824954406942,18.433336113108275,335165640.78844523,99170999.15843026,581169.0287406035,4612.283642113179,1437,79906.45242806585,<function <lambda> at 0x7eed3efab7b0>,6,86634026.34818919,44666861.881500974,8103615.8920939425,3230101.9543904862,78364127.13994697,-56313480.99369903,14538614.732023463,<function <lambda> at 0x7eed3efab850>,0.4184494971754581,5,810730.4652304127,4152129.528943691,3713534.8554669693,15.735069523138659,-559431.5434442479,1,19.99936173239351,-5.435563392414505,1864021.1610678765,1696854.2051137304,3268014.7626761324,2531155.180454401,57080.19399198379,217557.05517074864,4285.411241285021,9,18.474507816825817,107.15669692692342,413.4165751739087,489.56090622760576,822.4223100162773,250.3730507069777,920.8861578301951,187.14503146222617,431.3654563880019,766.7116744207175,281.02792627020244,284.6979688875555,347.16683967429265,149.1351078475378,418.9408420801276,580.0435552980983,374.2644678507342,513.8573592691224,843.3916463290707,550.9126399478857,391.98111290696016,643.7404583772466,280.42986157357683,516.2330979358292,817.8740635904726
123233444.86727978,75367885.71650803,<function <lambda> at 0x7eed9a40f270>,51136134.29873305,<function <lambda> at 0x7eed9a40f1d0>,<function <lambda> at 0x7eed3efab3f0>,54760046.2086951,19015505.22153522,7230489.080660672,10882839.895884568,43766817.95876788,6352251.271844298,22550153.44354912,<function <lambda> at 0x7eed3efab490>,234921952.735162,<function <lambda> at 0x7eed3efab530>,18401119.886514682,10468905.9229631,<function <lambda> at 0x7eed3efab5d0>,54685190.852760315,<function <lambda> at 0x7eed3efab670>,87865510.35672194,74365223.62887564,<function <lambda> at 0x7eed3efab710>,443505.7117397889,26450.58177518073,24642.773789016675,2.4405524140620103,73.72083960095941,3342.2549151732073,3826.5342679598048,3676.822315802787,0.9712843431392932,2.0535968744172615,12.225762358339283,19.49933331344161,433090518.5465882,182934423.1770385,359182.7316676603,2130.806149104885,319,16613.118743934694,<function <lambda> at 0x7eed3efab7b0>,5,53475962.06739724,23716114.443387926,1280922.043048728,4687018.70245264,105670656.47452031,-50467029.00275199,16224707.224118628,<function <lambda> at 0x7eed3efab850>,0.5085388914977079,7,947170.616843394,9253886.546546148,13525664.750196302,15.85859188485742,-139858.70107730897,19,12.41689787653735,17.366888659988,2266976.260992036,714857.9919247344,4190796.0070054336,128161.24942211293,15789.070130351563,354287.2820985895,1901.9021414547208,6,16.99692292714453,391.7277636311782,72.68215584081095,456.1053995172126,216.49056726611738,542.701247256645,343.9606135835676,504.176820338043,445.9652704044057,295.37700384061606,262.3158501655346,959.9365717988843,561.8981030014264,829.5231655007547,779.336265319487,444.6055992361009,760.8016717561018,10.56712277444294,941.8212689647268,110.7431201911856,645.9341848009383,525.4892302093175,140.83342765301234,873.1592873828264,374.3370629601962
446470458.3099741,215875442.27701396,<function <lambda> at 0x7eed9a40f270>,20867012.118423868,<function <lambda> at 0x7eed9a40f1d0>,<function <lambda> at 0x7eed3efab3f0>,73712383.32576905,18883527.693601646,8642760.864087872,7796735.182897728,42226806.11800213,21007130.15644723,12074302.493084295,<function <lambda> at 0x7eed3efab490>,333013167.08655435,<function <lambda> at 0x7eed3efab530>,35750250.30397363,8268388.313824851,<function <lambda> at 0x7eed3efab5d0>,77616955.78208995,<function <lambda> at 0x7eed3efab670>,58083571.8118481,20729406.288643207,<function <lambda> at 0x7eed3efab710>,399342.3414662959,29940.70743505391,11142.689191522259,2.0638345789118957,75.52131209352234,3165.497683629753,1084.692287112593,1421.565521033368,2.901986021163749,2.1950952661094725,7.083433486262935,11.65158654254066,440699573.38426805,393856500.2996224,136449.2259358275,2413.9649654626287,827,69290.86391032627,<function <lambda> at 0x7eed3efab7b0>,1,47446360.336781755,37415001.61246969,9701789.952640543,4266175.247800807,33008387.97838995,-27160965.352125324,-22895.280074279755,<function <lambda> at 0x7eed3efab850>,0.47675387550832815,0,135932.74736732064,2205773.8007480307,11771836.971408503,17.13130677156487,759584.013253443,19,13.878958713651851,16.783878187696573,2476018.68970747,1693448.5935356687,2626011.0011539855,4623737.379321808,47447.43880817246,471958.2805415855,7063.404829487639,9,21.899450194614833,589.2717612370867,714.1215274023056,205.62947553228128,263.572950918601,799.0103713523587,908.1320565606308,849.1366361611222,308.6076816354366,21.388846675079787,222.52978249888577,379.08672304885215,433.3808481149408,836.5201944475789,354.94196448924174,774.849846534099,452.72542662994,673.516527472109,655.5581974173488,288.8511233316314,436.48734930770706,331.3930876965162,683.7648247778044,205.53847069548647,848.6686756187097
340446004.6972835,51265395.96155467,<function <lambda> at 0x7eed9a40f270>,92430558.1135411,<function <lambda> at 0x7eed9a40f1d0>,<function <lambda> at 0x7eed3efab3f0>,90410072.50258282,11762590.571061982,3247012.0797326732,5557146.661661657,33414174.575870086,9674241.638208661,11830405.377349855,<function <lambda> at 0x7eed3efab490>,119609847.26931557,<function <lambda> at 0x7eed3efab530>,18766546.91385693,19820539.492333878,<function <lambda> at 0x7eed3efab5d0>,120697648.74557161,<function <lambda> at 0x7eed3efab670>,73845005.3233985,60441195.14352756,<function <lambda> at 0x7eed3efab710>,275684.2404998869,11037.412131421697,27178.09454661123,0.7265728713620896,85.82849423966712,1344.1286281317728,1899.2742144307356,4051.3923971454283,1.3433145673821636,0.8636353056746775,13.173471405409718,9.814955684613468,281653593.73318624,277795586.435537,413416.4522075336,2648.1374892607514,1468,38748.84470079243,<function <lambda> at 0x7eed3efab7b0>,6,98006832.41516036,46322826.5920981,5739354.483308104,4979676.24829949,63007686.87833461,-55225328.6246472,-11687128.192268454,<function <lambda> at 0x7eed3efab850>,0.27067460596528936,4,497649.55450521817,7043606.265529337,7497289.317768132,17.982226873557536,1535991.1074847472,6,19.50726515609973,9.61703439107772,984347.3325620266,296795.47559572855,1041634.7343001986,4259184.044094666,83281.59445505682,140859.86071728653,1069.8368350368203,6,21.882531000258503,275.6858969027003,702.8508233960325,755.7099224923928,208.52754029918773,36.25489544152738,944.8756419105443,235.64233199968697,607.3563834777437,944.1743635056619,709.1238408152291,9.585640144394558,458.9165242987353,814.5079681305315,982.5487615395994,739.8216343655964,793.3448278609759,423.69017866049705,231.43663046342468,207.88805526314448,250.54605893112824,980.0004155993314,312.2318396207352,40.773274341371454,162.91610476529073
383229031.1184182,90202012.85437466,<function <lambda> at 0x7eed9a40f270>,27302934.142890684,<function <lambda> at 0x7eed9a40f1d0>,<function <lambda> at 0x7eed3efab3f0>,112847379.43552384,6698570.687611328,5404824.672788264,14962618.502050245,44730851.220530346,15800238.292090211,10164704.293694742,<function <lambda> at 0x7eed3efab490>,246271358.1020153,<function <lambda> at 0x7eed3efab530>,37323104.84931746,11810024.317941723,<function <lambda> at 0x7eed3efab5d0>,56268962.162186585,<function <lambda> at 0x7eed3efab670>,85916558.7686002,23110147.947183743,<function <lambda> at 0x7eed3efab710>,344218.7020061698,6008.7706714924925,28248.163133629772,0.7374436603682117,62.15385642230174,1228.1076560144775,2486.088131160004,2080.6998974601725,2.6912197597757346,1.3606930647444009,3.5292055783582446,12.89141019877313,285349327.7567066,207333112.31403205,226599.45350640512,1384.4074670555278,1531,69705.004884258,<function <lambda> at 0x7eed3efab7b0>,8,28050819.362926293,23361820.772126745,3729529.234589007,601558.6244106969,51336335.20567602,-47750374.77960593,28424554.922309607,<function <lambda> at 0x7eed3efab850>,0.029170668574074465,2,214176.25273958684,1039236.2196092239,8722954.709690403,16.286603081670883,-1172054.787999522,13,16.870367350362194,10.167024494018154,1154382.1725925591,1691685.287383047,2623442.060467387,2621289.6395191774,2532.763454614018,225670.66120358906,5277.636789089574,1,14.894477425768079,175.22429236611526,614.0436069725636,451.33603273928867,765.0634313655639,984.0181501963605,6.128647313680791,935.162010746778,185.1650454162026,169.71341639491067,84.75947327532185,283.84614834613654,969.5720518365582,645.0826919667862,180.76991930090313,538.1434300814544,769.0232387826479,510.8523649637979,251.7444642825304,396.56371679708093,334.44618687832474,319.6956866662505,909.5385699133886,672.2715076341925,270.8860550263748
